X,Y,OBJECTID,Address,Notes,AP_Name,Neighborhood
-71.038301854843127,42.372390164975002,8831,"10 Gove St., East Boston MA",need photo,EB-10GOVE-AP1,East Boston
-71.038703960527258,42.371255297681472,8832,"69 Paris St., East Boston MA",need photo,EB-BPDA7-AP4,East Boston
-71.05197814719007,42.361389137790574,9230,"110 Atlantic Ave., Boston, MA",need address verification & photo,CP-COLUMBUS-AP1,Columbus Park
-71.038602261355621,42.372350533325402,9630,"10 Gove St., East Boston MA",need photo,EB-10GOVE-AP2,East Boston
-71.038498770943306,42.370995708118848,9631,"69 Paris St., East Boston MA",need photo,EB-BPDA7-AP1,East Boston
-71.038788449774671,42.371189904961597,9632,"69 Paris St., East Boston MA",need photo,EB-BPDA7-AP3,East Boston
-71.038564430604055,42.368114004230769,10031,"239 Sumner St., East Boston, MA",need photo,EB-ENGINE9-AP1,East Boston
-71.038690493882825,42.368169491744574,10032,"239 Sumner St., East Boston, MA",need photo,EB-ENGINE9-AP2,East Boston
-71.124186007131925,42.256401499333556,10033,"1249 Hyde Park Ave., Hyde Park, MA",need photo,HP-BPDE18-AP3,Hyde Park
-71.122363267928279,42.255168293158363,10034,"27 Maple St., Hyde Park, MA",need address verification & photo,HP-MAPLE-AP1,Hyde Park
-71.065515817810564,42.355839663077639,10035,"Boston Common, Boston, MA","need photo, left side of building",PARKS-FROGPOND-AP1,Parks
